,str_id,src,dst,road,direction,dist
97,1000011300,사직공원,사직단,사직로,하행,123
98,1000011400,사직단,사직공원,사직로,상행,123
99,1000011500,경복궁교차로,안국동사거리,율곡로,하행,306
100,1000011600,안국동사거리,경복궁교차로,율곡로,상행,308
101,1000011700,경복궁역,정부서울청사,사직로,상행,151
102,1000011800,정부서울청사,경복궁역,사직로,하행,151
103,1000011900,광화문,정부서울청사,사직로,하행,224
104,1000012000,정부서울청사,광화문,사직로,상행,224
105,1000012100,경복궁교차로,광화문,사직로,하행,239
106,1000012200,광화문,경복궁교차로,사직로,상행,241
107,1000012300,이화사거리,원남동사거리,율곡로,상행,434
108,1000012400,원남동사거리,이화사거리,율곡로,하행,436
109,1000012500,경복궁역,사직공원,사직로,하행,364
110,1000012600,사직공원,경복궁역,사직로,상행,354
111,1000012700,안국역,안국동사거리,율곡로,상행,317
112,1000012800,안국동사거리,안국역,율곡로,하행,321
113,1000012900,창신역,동묘앞역,지봉로,상행,852
114,1000013000,동묘앞역,창신역,지봉로,하행,851
115,1000013300,창덕궁,원남동사거리,율곡로,하행,690
116,1000013400,원남동사거리,창덕궁,율곡로,상행,696
117,1000013500,창덕궁,안국역,율곡로,상행,360
118,1000013600,안국역,창덕궁,율곡로,하행,355
119,1000013900,재동초등학교앞,안국역,북촌로,하행,277
120,1000014000,안국역,재동초등학교앞,북촌로,상행,277
121,1000014300,국제화랑,경복궁교차로,삼청로,하행,604
122,1000014400,경복궁교차로,국제화랑,삼청로,상행,578
123,1000015100,효자삼거리,정부서울청사,효자로,하행,890
124,1000015200,정부서울청사,효자삼거리,효자로,상행,860
125,1000015300,신교동교차로,경복궁역,자하문로,하행,911
126,1000015400,경복궁역,신교동교차로,자하문로,상행,910
127,1000015500,성균관대입구,원남동사거리,창경궁로,하행,880
128,1000015600,원남동사거리,성균관대입구,창경궁로,상행,870
129,1000015900,혜화동로터리,이화사거리,대학로,하행,1034
130,1000016000,이화사거리,혜화동로터리,대학로,상행,1087
131,1000016300,삼청동주민센터,국제화랑,삼청로,하행,369
132,1000016400,국제화랑,삼청동주민센터,삼청로,상행,382
133,1000016600,국제화랑,팔판동삼거리,청와대로,상행,308
134,1000016700,보문사입구,창신역,지봉로,상행,544
135,1000016800,창신역,보문사입구,지봉로,하행,532
136,1000016900,북악산로입구,사직단,북악산로,상행,2629
137,1000017000,사직단,북악산로입구,북악산로,하행,2615
138,1000017200,효자삼거리,신교동교차로,효자로,상행,263
139,1000017400,팔판동삼거리,효자삼거리,청와대로,상행,541
140,1000017700,혜화동로터리,성균관대입구,창경궁로,하행,355
141,1000017800,성균관대입구,혜화동로터리,창경궁로,상행,356
142,1000017900,청운초등학교앞,신교동교차로,자하문로,하행,138
143,1000018000,신교동교차로,청운초등학교앞,자하문로,상행,138
144,1000018300,삼청공원입구,재동초등학교앞,북촌로,하행,1226
145,1000018400,재동초등학교앞,삼청공원입구,북촌로,상행,1252
146,1000018700,삼청공원입구,삼청동주민센터,삼청로,하행,352
147,1000018800,삼청동주민센터,삼청공원입구,삼청로,상행,356
148,1000018900,국민생활관,성균관대입구,성균관로,상행,965
149,1000019000,성균관대입구,국민생활관,성균관로,하행,933
150,1000019100,국민생활관,혜화동로터리,혜화로,하행,528
151,1000019200,혜화동로터리,국민생활관,혜화로,상행,512
152,1000019300,한성대입구역,혜화동로터리,창경궁로,하행,567
153,1000019400,혜화동로터리,한성대입구역,창경궁로,상행,560
154,1000019500,베네스트아파트,청운초등학교앞,자하문로,하행,1315
155,1000019600,청운초등학교앞,베네스트아파트,자하문로,상행,1314
156,1000019900,성북초교앞,국민생활관,혜화로,하행,447
157,1000020000,국민생활관,성북초교앞,혜화로,상행,465
158,1000020100,성북동서울아파트,삼청공원입구,삼청로,하행,2124
159,1000020200,삼청공원입구,성북동서울아파트,삼청로,상행,2114
160,1000020500,창의문앞,북악산로입구,백석동길,하행,137
161,1000020600,북악산로입구,창의문앞,백석동길,상행,155
162,1000020700,세검정,베네스트아파트,자하문로,하행,826
163,1000020800,베네스트아파트,세검정,자하문로,상행,837
164,1000020900,신영동삼거리,세검정,세검정로,하행,562
165,1000021000,세검정,신영동삼거리,세검정로,상행,562
166,1000021200,북악골프연습장,북악산로입구,북악산로,상행,5293
167,1000021300,구기터널동측,신영동삼거리,진흥로,상행,720
168,1000021400,신영동삼거리,구기터널동측,진흥로,하행,724
169,1000021500,질병관리본부,구기터널동측,진흥로,상행,2362
170,1000021600,구기터널동측,질병관리본부,진흥로,하행,2375
171,1000021700,국민대학교앞,신영동삼거리,평창문화로,상행,3170
172,1000021800,신영동삼거리,국민대학교앞,평창문화로,하행,3152
173,1004350700,성동교남단,성수중고교,광나루로,하행,675
174,1004350800,성수중고교,성동교남단,광나루로,상행,667
175,1005001900,원효대교진출입고가차도,원효로2가,원효로,상행,441
176,1005002000,원효로2가,원효대교진출입고가차도,원효로,하행,441
177,1005002300,공릉지하차도(남측),중현초교,섬밭로,하행,399
178,1005002400,중현초교,공릉지하차도(남측),섬밭로,상행,397
179,1005002500,한강대교북단교차로직전,한강대교북단교차로,이촌로,상행,119
180,1005002700,석계고가차도(서측),석계고가차도(동측),화랑로,상행,528
181,1005002800,석계고가차도(동측),석계고가차도(서측),화랑로,하행,530
182,1005002900,내부순환로입구교차로,마포구청역,성산로,상행,481
183,1005003000,마포구청역,내부순환로입구교차로,성산로,하행,486
184,1005003300,길음교,돈암1동주민센터,정릉로,상행,413
185,1005003400,돈암1동주민센터,길음교,정릉로,하행,395
186,1005003500,돈암1동주민센터,종암사거리,정릉로,상행,666
187,1005003600,종암사거리,돈암1동주민센터,정릉로,하행,689
188,1005003700,종암사거리,종암SK아파트,화랑로,상행,575
189,1005003800,월곡역,종암사거리,화랑로,하행,807
190,1005003900,월곡역,상월곡역,화랑로,상행,712
191,1005004000,상월곡역,월곡역,화랑로,하행,693
192,1005004100,상월곡역,돌곶이역,화랑로,상행,963
193,1005004200,돌곶이역,상월곡역,화랑로,하행,979
194,1005004300,돌곶이역,장위사거리,화랑로,상행,399
195,1005004400,장위사거리,돌곶이역,화랑로,하행,399
196,1005009000,성수대교북단교차로,서울숲입구,뚝섬로,상행,747
197,1005009100,서울숲입구,성수대교북단교차로,뚝섬로,하행,746
198,1005009200,삼각지고가차도(서측),용산등기소,백범로90길,상행,266
199,1005009300,용산등기소,삼각지고가차도(서측),백범로90길,하행,263
200,1010000100,정동사거리,서대문역,새문안로,상행,368
201,1010000200,서대문역,정동사거리,새문안로,하행,366
202,1010000300,남산2호터널북단,국립극장,장충단로,하행,543
203,1010000400,국립극장,남산2호터널북단,장충단로,상행,545
204,1010000500,도동삼거리,후암삼거리,소월로2길,상행,322
205,1010000600,후암삼거리,힐튼,소월로2길,하행,221
206,1010000800,백범광장,도동삼거리,소파로,하행,445
207,1010001100,퇴계로2가,백범광장,소파로,하행,1163
208,1010001200,백범광장,퇴계로2가,소파로,상행,1178
209,1010001300,장충체육관,남산2호터널북단,장충단로,하행,456
210,1010001400,남산2호터널북단,장충체육관,장충단로,상행,461
211,1010001500,장충체육관,약수역,동호로,상행,661
212,1010001600,약수역,장충체육관,동호로,하행,673
213,1010001700,청구역,약수역,다산로,상행,671
214,1010001800,약수역,청구역,다산로,하행,671
215,1010001900,염천교,서울역사거리,통일로,하행,370
216,1010002000,서울역사거리,염천교,통일로,상행,370
217,1010002100,중림동입구,서울역(서부),청파로,상행,244
218,1010002200,서울역(서부),중림동입구,청파로,하행,259
219,1010002300,숭례문,도동삼거리,소월로,상행,536
220,1010002400,도동삼거리,숭례문,소월로,하행,538
221,1010002500,회현사거리,서울역사거리,퇴계로,하행,954
222,1010002600,서울역사거리,회현사거리,퇴계로,상행,963
223,1010002700,회현사거리,남산3호터널북단,소공로,상행,572
224,1010002800,남산3호터널북단,회현사거리,소공로,하행,573
225,1010002900,숭례문,서울역사거리,세종대로,상행,539
226,1010003000,서울역사거리,숭례문,세종대로,하행,525
227,1010003100,충정로역,서울역(서부),중림로,상행,537
228,1010003200,서울역(서부),충정로역,중림로,하행,529
229,1010003300,퇴계로2가,남산1호터널북단,삼일대로,상행,644
